,URL
11,https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_16_trfobq2av2_2_B09W3XLDM2?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=fadab868-fcc4-4144-a2b9-c65a76e06446&pd_rd_w=ypbmp&pd_rd_wg=T0w6E&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=YFWV1QMM9VZZ0422253P&qid=1697597640&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a
12,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_16_trfobq2av2_3_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=fadab868-fcc4-4144-a2b9-c65a76e06446&pd_rd_w=ypbmp&pd_rd_wg=T0w6E&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=YFWV1QMM9VZZ0422253P&qid=1697597640&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a
13,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_16_trfobq2av2_4_B09SB5DP5Y?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=fadab868-fcc4-4144-a2b9-c65a76e06446&pd_rd_w=ypbmp&pd_rd_wg=T0w6E&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=YFWV1QMM9VZZ0422253P&qid=1697597640&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a
14,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDCD79P/ref=sxin_16_trfobq2av2_5_B08TDCD79P?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08TDCD79P&pd_rd_r=fadab868-fcc4-4144-a2b9-c65a76e06446&pd_rd_w=ypbmp&pd_rd_wg=T0w6E&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=YFWV1QMM9VZZ0422253P&qid=1697597640&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a
15,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDH2LCP/ref=sxin_16_trfobq2av2_6_B08TDH2LCP?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08TDH2LCP&pd_rd_r=fadab868-fcc4-4144-a2b9-c65a76e06446&pd_rd_w=ypbmp&pd_rd_wg=T0w6E&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=YFWV1QMM9VZZ0422253P&qid=1697597640&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a
16,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDGVLVM/ref=sxin_16_trfobq2av2_7_B08TDGVLVM?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08TDGVLVM&pd_rd_r=fadab868-fcc4-4144-a2b9-c65a76e06446&pd_rd_w=ypbmp&pd_rd_wg=T0w6E&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=YFWV1QMM9VZZ0422253P&qid=1697597640&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a
17,https://www.amazon.in/Impulse-Belux-Backpack-Resistant-Black/dp/B0CJHL12N9/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-4
18,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-5
19,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-6
20,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-7
21,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-8
